Item,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Diet Dr Pepper (Small),0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,2,0,0,0,0
Diet Dr Pepper (Medium),0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,3,0,0,0,0
Diet Dr Pepper (Large),0,0,0,0,0,0,0,0,0,140,6,0,0,0,0,0,4,0,0,0,0
Diet Dr Pepper (Child),0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,1,0,0,0,0
Sprite (Small),140,0,0,0,0,0,0,0,0,30,1,37,12,0,0,37,0,0,0,0,0
Sprite (Medium),200,0,0,0,0,0,0,0,0,45,2,54,18,0,0,54,0,0,0,0,0
Sprite (Large),280,0,0,0,0,0,0,0,0,60,3,74,25,0,0,74,0,0,0,0,0
Sprite (Child),100,0,0,0,0,0,0,0,0,25,1,27,9,0,0,27,0,0,0,0,0
1% Low Fat Milk Jug,100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Fat Free Chocolate Milk Jug,130,0,0,0,0,0,0,5,2,135,6,23,8,1,2,22,9,10,0,30,8
Minute Maid 100% Apple Juice Box,80,0,0,0,0,0,0,0,0,15,1,21,7,0,0,19,0,0,100,10,0
Minute Maid Orange Juice (Small),150,0,0,0,0,0,0,0,0,0,0,34,11,0,0,30,2,0,130,2,0
Minute Maid Orange Juice (Medium),190,0,0,0,0,0,0,0,0,0,0,44,15,0,0,39,3,0,160,4,0
Minute Maid Orange Juice (Large),280,0,0,0,0,0,0,0,0,5,0,65,22,0,0,58,4,0,240,4,0
Dasani Water Bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Small),0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Medium),0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Large),0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Iced Tea (Child),0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea (Small),150,0,0,0,0,0,0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
Sweet Tea (Medium),180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Sweet Tea (Large),220,0,0,0,0,0,0,0,0,10,1,54,18,0,0,54,1,0,0,0,0
Sweet Tea (Child),110,0,0,0,0,0,0,0,0,5,0,27,9,0,0,27,0,0,0,0,0
Coffee (Small),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (Medium),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (Large),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latte (Small),170,80,9,13,5,24,0,25,9,115,5,15,5,1,3,12,9,8,0,30,0
Latte (Medium),210,90,10,16,6,30,0,30,11,140,6,18,6,1,4,15,11,10,0,35,0
Latte (Large),280,120,14,21,8,39,0,40,14,180,8,24,8,1,6,20,15,15,0,50,2
Caramel Latte (Small),270,80,9,13,5,24,0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
Caramel Latte (Medium),340,90,10,16,6,30,0,30,11,140,6,50,17,1,4,48,11,10,0,35,0
Caramel Latte (Large),430,120,14,21,8,39,0,40,14,180,8,62,21,1,6,59,15,15,0,50,2
Hazelnut Latte (Small),270,80,9,13,5,24,0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
Hazelnut Latte (Medium),330,90,10,16,6,30,0,30,11,140,6,50,17,1,4,47,11,10,0,35,0
Hazelnut Latte (Large),430,120,14,21,8,39,0,40,14,180,8,62,21,1,6,58,15,15,0,50,2
French Vanilla Latte (Small),260,80,9,13,5,24,0,25,9,115,5,38,13,1,3,36,9,8,0,30,0
French Vanilla Latte (Medium),330,90,10,16,6,30,0,30,11,140,6,48,16,1,4,45,11,10,0,35,2
French Vanilla Latte (Large),420,120,14,21,8,39,0,40,14,190,8,60,20,1,6,56,15,15,0,50,2
Latte with Sugar Free French Vanilla Syrup (Small),210,80,9,13,5,24,0,25,9,150,6,24,8,1,4,12,9,8,0,30,0
Latte with Sugar Free French Vanilla Syrup (Medium),260,90,10,16,6,30,0,30,11,190,8,29,10,1,5,15,12,10,0,35,0
Latte with Sugar Free French Vanilla Syrup (Large),330,120,14,21,8,39,0,40,14,240,10,37,12,2,7,20,15,15,0,50,2
Nonfat Latte (Small),100,0,0,0,0,0,0,5,2,110,5,15,5,1,3,13,10,10,0,30,0
Nonfat Latte (Medium),130,0,0,0,0,0,0,5,2,135,6,19,6,1,4,16,12,15,0,40,0
Nonfat Latte (Large),170,0,0.5,1,0,0,0,10,3,180,7,25,8,1,6,21,16,15,0,50,2
Nonfat Caramel Latte (Small),200,0,0,0,0,0,0,5,2,110,5,41,14,1,3,39,10,10,0,30,0
Nonfat Caramel Latte (Medium),250,0,0,0,0,0,0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
Nonfat Caramel Latte (Large),310,0,0.5,1,0,0,0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
Nonfat Hazelnut Latte (Small),200,0,0,0,0,0,0,5,2,110,5,40,13,1,3,38,10,10,0,30,0
Nonfat Hazelnut Latte (Medium),250,0,0,0,0,0,0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
Nonfat Hazelnut Latte (Large),310,0,0.5,1,0,0,0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
Nonfat French Vanilla Latte (Small),190,0,0,0,0,0,0,5,2,115,5,39,13,1,3,37,10,10,0,30,0
Nonfat French Vanilla Latte (Medium),240,0,0,0,0,0,0,5,2,140,6,49,16,1,4,46,12,15,0,40,2
Nonfat French Vanilla Latte (Large),300,0,0.5,1,0,0,0,10,3,180,8,60,20,1,6,56,16,15,0,50,2
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0,0,0,0,0,0,5,2,150,6,24,8,1,4,13,10,10,0,30,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0,0,0,0,0,0,5,2,180,8,30,10,1,5,16,12,15,0,40,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0,0.5,1,0,0,0,10,3,240,10,38,13,2,7,21,16,15,0,50,2
Mocha (Small),340,100,11,18,7,34,0,35,12,150,6,49,16,2,6,42,10,10,0,30,6
Mocha (Medium),410,120,14,21,8,40,0,40,14,190,8,60,20,2,8,53,13,10,0,40,6
Mocha (Large),500,150,17,26,10,49,0.5,50,17,240,10,72,24,2,10,63,16,15,0,50,8
Mocha with Nonfat Milk (Small),270,30,3.5,5,2,11,0,15,5,150,6,49,16,2,6,43,11,10,0,35,6
Mocha with Nonfat Milk (Medium),330,30,3.5,6,2,11,0,15,5,190,8,60,20,2,8,53,13,15,0,40,6
Mocha with Nonfat Milk (Large),390,35,4,6,2.5,12,0,20,6,240,10,73,24,2,10,64,17,20,0,50,8
Caramel Mocha (Small),320,100,11,17,7,33,0,35,12,170,7,45,15,1,3,40,10,10,0,30,2
Caramel Mocha (Medium),390,120,14,21,8,40,0.5,40,14,220,9,55,18,1,4,50,12,15,0,40,2
Caramel Mocha (Large),480,150,17,26,10,49,0.5,50,17,270,11,66,22,1,5,60,16,15,0,50,4
Nonfat Caramel Mocha (Small),250,30,3.5,5,2,10,0,15,5,170,7,45,15,1,3,41,10,10,0,35,2
Nonfat Caramel Mocha (Medium),310,30,3.5,5,2,11,0,15,5,210,9,56,19,1,4,51,13,15,0,40,2
Nonfat Caramel Mocha (Large),370,35,3.5,6,2.5,11,0,20,6,270,11,67,22,1,5,61,17,20,0,50,4
Hot Chocolate (Small),360,120,13,21,8,39,0,40,14,180,8,50,17,1,3,45,11,10,0,40,6
Hot Chocolate (Medium),440,140,16,25,9,47,0.5,50,16,220,9,61,20,1,4,56,14,15,0,45,6
Hot Chocolate (Large),540,180,20,31,12,58,0.5,60,20,280,12,73,24,1,5,68,17,20,0,60,8
Hot Chocolate with Nonfat Milk (Small),280,30,3.5,5,2,11,0,15,5,180,7,50,17,1,3,46,12,15,0,40,6
Hot Chocolate with Nonfat Milk (Medium),340,30,3.5,5,2,11,0,15,6,220,9,61,20,1,4,57,14,20,0,50,6
Hot Chocolate with Nonfat Milk (Large),400,35,3.5,6,2.5,12,0,20,7,280,12,74,25,1,5,69,19,25,0,60,8
Regular Iced Coffee (Small),140,40,4.5,7,3,15,0,15,6,35,1,23,8,0,0,22,1,4,0,4,0
Regular Iced Coffee (Medium),190,60,7,11,4.5,22,0,25,9,50,2,31,10,0,0,30,1,4,0,4,0
Regular Iced Coffee (Large),270,80,9,14,6,29,0,35,12,75,3,47,16,0,0,45,2,6,0,8,0
Caramel Iced Coffee (Small),130,40,4.5,7,3,15,0,15,6,35,2,22,7,0,0,21,1,4,0,4,0
Caramel Iced Coffee (Medium),180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Caramel Iced Coffee (Large),260,80,9,14,6,29,0,35,12,65,3,43,14,0,0,42,2,6,0,6,0
Hazelnut Iced Coffee (Small),130,40,4.5,7,3,15,0,15,6,35,1,21,7,0,0,20,1,4,0,4,0
Hazelnut Iced Coffee (Medium),180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Hazelnut Iced Coffee (Large),250,80,9,14,6,29,0,35,12,75,3,43,14,0,0,41,2,6,0,8,0
French Vanilla Iced Coffee (Small),120,40,4.5,7,3,15,0,15,6,40,2,20,7,0,0,19,1,4,0,4,0
French Vanilla Iced Coffee (Medium),170,60,7,11,4.5,22,0,25,9,55,2,27,9,0,0,26,1,4,0,4,0
French Vanilla Iced Coffee (Large),240,80,9,14,6,29,0,35,12,80,3,41,14,0,0,39,2,6,0,8,0
Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,40,4.5,7,3,15,0,15,6,65,3,9,3,0,0,1,1,4,0,4,0
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,60,7,11,4.5,22,0,25,9,90,4,12,4,0,0,2,1,4,0,4,0
Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,80,9,14,6,29,0,35,12,135,6,18,6,0,0,2,2,6,0,8,0
Iced Mocha (Small),290,100,11,17,7,33,0,35,12,125,5,41,14,1,4,34,8,10,0,25,4
Iced Mocha (Medium),350,110,13,19,8,38,0,40,13,150,6,50,17,1,5,43,9,10,0,30,6
Iced Mocha (Large),480,150,16,25,10,49,0.5,50,17,220,9,70,23,2,8,62,14,15,0,40,8
Iced Mocha with Nonfat Milk (Small),240,45,5,8,3,16,0,20,7,125,5,41,14,1,4,35,8,10,0,25,4
Iced Mocha with Nonfat Milk (Medium),290,45,5,8,3.5,17,0,20,7,150,6,50,17,1,5,43,10,15,0,30,6
Iced Mocha with Nonfat Milk (Large),390,50,6,9,3.5,18,0,25,8,220,9,71,24,2,8,62,14,20,0,45,8
Iced Caramel Mocha (Small),280,100,11,17,7,33,0,35,12,140,6,38,13,0,0,33,8,10,0,25,2
Iced Caramel Mocha (Medium),340,110,13,19,7,37,0,40,13,170,7,46,15,1,2,41,9,10,0,30,2
Iced Caramel Mocha (Large),460,150,16,25,10,48,0.5,50,17,250,10,65,22,1,3,59,13,15,0,40,4
Iced Nonfat Caramel Mocha (Small),230,45,5,8,3,16,0,20,7,140,6,38,13,0,0,33,8,10,0,25,2
Iced Nonfat Caramel Mocha (Medium),270,45,5,8,3,16,0,20,7,170,7,47,16,1,2,41,10,15,0,30,2
Iced Nonfat Caramel Mocha (Large),370,50,6,8,3.5,17,0,25,8,250,10,65,22,1,3,59,14,20,0,45,4
Frappé Mocha (Small),450,160,18,28,12,59,1,65,21,125,5,65,22,1,3,57,7,15,0,20,4
Frappé Mocha (Medium),550,200,22,34,14,71,1,75,25,160,7,80,27,1,4,71,9,15,0,25,4
Frappé Mocha (Large),670,240,26,41,17,85,1,90,30,190,8,98,33,1,4,88,11,20,0,35,4
Frappé Caramel (Small),450,170,19,29,12,60,1,65,22,125,5,64,21,0,0,57,7,15,0,25,2
Frappé Caramel (Medium),550,200,23,35,15,73,1,80,27,160,7,79,26,0,0,71,9,20,0,30,2
Frappé Caramel (Large),670,250,27,42,17,87,1.5,95,32,190,8,96,32,0,0,88,11,20,0,35,2
Frappé Chocolate Chip (Small),530,200,23,35,14,72,1,65,22,135,6,76,25,1,5,67,8,15,0,25,4
Frappé Chocolate Chip (Medium),630,240,26,41,17,85,1,80,26,160,7,91,30,1,5,81,9,15,0,30,4
Frappé Chocolate Chip (Large),760,280,31,48,20,101,1.5,95,32,200,8,111,37,1,5,99,12,20,0,35,6
Blueberry Pomegranate Smoothie (Small),220,5,0.5,1,0,0,0,5,1,40,2,50,17,3,12,44,2,0,2,6,2
Blueberry Pomegranate Smoothie (Medium),260,5,1,1,0,0,0,5,1,50,2,62,21,4,15,54,3,0,4,8,2
Blueberry Pomegranate Smoothie (Large),340,10,1,2,0.5,3,0,5,2,65,3,79,26,5,19,70,4,0,4,10,2
Strawberry Banana Smoothie (Small),210,5,0.5,1,0,0,0,5,1,50,2,47,16,3,10,44,3,0,30,8,2
Strawberry Banana Smoothie (Medium),250,5,1,1,0,0,0,5,1,60,2,58,19,3,13,54,4,0,35,8,4
Strawberry Banana Smoothie (Large),330,10,1,2,0.5,3,0,5,2,80,3,74,25,4,16,70,5,0,45,10,4
Mango Pineapple Smoothie (Small),210,5,0.5,1,0,0,0,5,1,40,2,50,17,1,4,46,2,30,20,8,2
Mango Pineapple Smoothie (Medium),260,10,1,1,0,0,0,5,1,45,2,61,20,1,5,56,3,40,25,8,2
Mango Pineapple Smoothie (Large),340,10,1,2,0.5,3,0,5,2,60,3,78,26,2,6,72,4,50,30,10,2
Vanilla Shake (Small),530,140,15,24,10,49,1,60,20,160,7,86,29,0,0,63,11,20,0,40,0
Vanilla Shake (Medium),660,170,19,29,12,61,1,75,24,200,9,109,36,0,0,81,14,25,0,50,0
Vanilla Shake (Large),820,210,23,35,15,73,1,90,29,260,11,135,45,0,0,101,18,30,0,60,0
Strawberry Shake (Small),550,150,16,25,10,52,1,60,21,160,7,90,30,0,0,79,12,20,0,40,0
Strawberry Shake (Medium),690,180,20,30,13,63,1,75,25,210,9,114,38,0,0,100,15,25,0,50,0
Strawberry Shake (Large),850,210,24,36,15,75,1,90,30,260,11,140,47,0,0,123,18,30,0,70,0
Chocolate Shake (Small),560,150,16,25,10,51,1,60,20,240,10,91,30,1,5,77,12,20,0,40,8
Chocolate Shake (Medium),700,180,20,30,12,62,1,75,24,300,13,114,38,2,6,97,15,25,0,50,10
Chocolate Shake (Large),850,210,23,36,15,74,1,85,29,380,16,141,47,2,8,120,19,30,0,60,15
Shamrock Shake (Medium),660,170,19,29,12,61,1,75,24,210,9,109,36,0,0,93,14,25,0,50,0
Shamrock Shake (Large),820,210,23,35,15,73,1,90,29,260,11,135,45,0,0,115,18,30,0,60,0
McFlurry with M&M’s Candies (Small),650,210,23,35,14,72,0.5,50,17,180,7,96,32,1,6,89,13,15,0,45,8
McFlurry with M&M’s Candies (Medium),930,290,33,50,20,102,1,75,25,260,11,139,46,2,7,128,20,25,0,70,10
McFlurry with M&M’s Candies (Snack),430,140,15,24,10,48,0,35,11,120,5,64,21,1,4,59,9,10,0,30,4
McFlurry with Oreo Cookies (Small),510,150,17,26,9,44,0.5,45,14,280,12,80,27,1,4,64,12,15,0,40,8
McFlurry with Oreo Cookies (Medium),690,200,23,35,12,58,1,55,19,380,16,106,35,1,5,85,15,20,0,50,10
McFlurry with Oreo Cookies (Snack),340,100,11,17,6,29,0,30,9,190,8,53,18,1,2,43,8,10,0,25,6
McFlurry with Reese's Peanut Butter Cups (Medium),810,290,32,50,15,76,1,60,20,400,17,114,38,2,9,103,21,20,0,60,6
McFlurry with Reese's Peanut Butter Cups (Snack),410,150,16,25,8,38,0,30,10,200,8,57,19,1,5,51,10,10,0,30,4
